image_number,age_group_original,age_group_binned,age_group_confidence,gender,gender_confidence,aligned_path
0,0-2,0-5,1.0,male,1.0,aligned_faces\00000.png
1,30-39,30-39,0.6522,female,1.0,aligned_faces\00001.png
2,30-39,30-39,0.6221,female,1.0,aligned_faces\00002.png
3,3-6,0-5,0.6623,female,1.0,aligned_faces\00003.png
4,20-29,20-29,1.0,female,1.0,aligned_faces\00004.png
5,30-39,30-39,0.68,male,1.0,aligned_faces\00005.png
6,20-29,20-29,1.0,female,1.0,aligned_faces\00006.png
7,3-6,0-5,0.6637,female,1.0,aligned_faces\00007.png
8,40-49,40-49,0.6923,female,1.0,aligned_faces\00008.png
9,30-39,30-39,0.6755,male,1.0,aligned_faces\00009.png
10,3-6,0-5,1.0,male,1.0,aligned_faces\00010.png
11,40-49,40-49,0.6716,male,1.0,aligned_faces\00011.png
12,20-29,20-29,1.0,male,1.0,aligned_faces\00012.png
13,3-6,0-5,0.6422,male,1.0,aligned_faces\00013.png
14,3-6,0-5,1.0,male,1.0,aligned_faces\00014.png
15,20-29,20-29,1.0,male,1.0,aligned_faces\00015.png
16,30-39,30-39,0.6473,male,1.0,aligned_faces\00016.png
17,30-39,30-39,1.0,female,1.0,aligned_faces\00017.png
18,30-39,30-39,0.6521,female,1.0,aligned_faces\00018.png
19,20-29,20-29,1.0,male,1.0,aligned_faces\00019.png
20,20-29,20-29,1.0,female,1.0,aligned_faces\00020.png
21,40-49,40-49,0.6651,male,0.6651,aligned_faces\00021.png
22,20-29,20-29,0.6671,female,1.0,aligned_faces\00022.png
23,20-29,20-29,0.3401,male,0.6599,aligned_faces\00023.png
24,40-49,40-49,0.6385,male,1.0,aligned_faces\00024.png
25,30-39,30-39,0.66,female,1.0,aligned_faces\00025.png
26,0-2,0-5,1.0,male,1.0,aligned_faces\00026.png
27,40-49,40-49,1.0,male,1.0,aligned_faces\00027.png
28,50-69,50-69,1.0,male,1.0,aligned_faces\00028.png
29,30-39,30-39,0.6425,male,1.0,aligned_faces\00029.png
30,3-6,0-5,1.0,male,1.0,aligned_faces\00030.png
31,40-49,40-49,0.6614,male,1.0,aligned_faces\00031.png
32,30-39,30-39,0.677,female,1.0,aligned_faces\00032.png
33,3-6,0-5,1.0,female,1.0,aligned_faces\00033.png
34,30-39,30-39,0.6484,male,1.0,aligned_faces\00034.png
35,20-29,20-29,0.6881,male,1.0,aligned_faces\00035.png
36,30-39,30-39,0.6679,male,1.0,aligned_faces\00036.png
37,20-29,20-29,0.6429,female,1.0,aligned_faces\00037.png
38,0-2,0-5,1.0,male,1.0,aligned_faces\00038.png
39,50-69,50-69,1.0,male,1.0,aligned_faces\00039.png
40,30-39,30-39,0.6621,male,1.0,aligned_faces\00040.png
41,20-29,20-29,1.0,female,1.0,aligned_faces\00041.png
42,30-39,30-39,1.0,male,1.0,aligned_faces\00042.png
43,20-29,20-29,1.0,female,1.0,aligned_faces\00043.png
44,40-49,40-49,1.0,male,1.0,aligned_faces\00044.png
45,40-49,40-49,1.0,male,1.0,aligned_faces\00045.png
46,20-29,20-29,1.0,male,1.0,aligned_faces\00046.png
47,40-49,40-49,0.658,female,1.0,aligned_faces\00047.png
48,50-69,50-69,0.3439,male,1.0,aligned_faces\00048.png
49,40-49,40-49,0.6444,female,1.0,aligned_faces\00049.png
50,3-6,0-5,1.0,male,1.0,aligned_faces\00050.png
51,10-14,6-12,0.7092,male,1.0,aligned_faces\00051.png
